ID,IMAGE,How scary is this image?,How likely are you to see something like this in  a dream?,What is the dominant emotion of the image?,How realistic does this image look?,How likely is this image AI-generated?,How much would you pay for this as a painting (in euros)?,"If you were asked to improve this image to make it “perfect”, how many edits would you make?",Write a short story inspired by this image without naming any objects in it.,Does anything feel visually wrong/inconsistent in this image?
1,1,6,Neutral,Calm,1,8,2,4,Sometimes the body does not follow the mind.,"Yes: proportions/anatomy, Yes: perspective/geometry"
2,1,3,Very unlikely,Fear,3,10,0,5,,"Yes: proportions/anatomy, Yes: lighting/shadows, Yes: perspective/geometry"
3,1,8,Unlikely,"Sadness, Fear",2,10,8,12,The person trips and flies while shaking his arms. This is sad. ,"Yes: proportions/anatomy, Yes: texture/details, Yes: perspective/geometry"
4,1,1,Very unlikely,Confusion,1,2,0,7,Athleticism as a way of fighting your inner demons. The eternal struggle between you and you.,"Yes: proportions/anatomy, Yes: lighting/shadows, Yes: texture/details, Yes: perspective/geometry"
5,1,1,Unlikely,Joy,1,7,0,7,"Falling from grace through a sunlit sky. Sadness and confusion. No more playing, time to get serious. Disform! ","Yes: proportions/anatomy, Yes: lighting/shadows, Yes: texture/details, Yes: perspective/geometry"
6,1,1,Likely,neutral,6,9,10,4,the three legged man loved to play sports on the surface of mars. ,Yes: proportions/anatomy
7,1,2,Unlikely,Fear,1,9,1,0,,Yes: proportions/anatomy
8,1,1,Very unlikely,Kinda funny ,1,3,€5,,A man with an extra limb decides to exercise all of his extremities He has the name manuel And he believes in polyamory Manuel isn’t just a normal guy he has pedophilic  tendencies and as much as he wants to stay away from his prefences he dabbles every now and then and to circle back he was cursed with this third leg because he acts like a freak:) ,Yes: proportions/anatomy
9,1,1,Very unlikely,Confusion,1,3,0,5,The triple scorer doesn’t need to look.,Yes: perspective/geometry
10,1,1,Very unlikely,No feeling at all,1,1,0,To many,Once upon a time there was a sportsman with un impossible body that tried to do a goal.,"Yes: proportions/anatomy, Yes: perspective/geometry"
11,1,1,Very unlikely,Stupidity,2,7,0,10000,Défense blocked him but the shock was so violent that he will spend some years in the hospital for a couple of surgeries. ,Yes: proportions/anatomy
